,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,dates
0,2019/12/1,ä¸_,CN,,,,,1,0,0,0,2019/12/1
1,2019/12/1,ä¸_,CN,æ¹___,420000,,,1,0,0,0,2019/12/1
2,2019/12/1,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,1,0,0,0,2019/12/1
3,2019/12/2,ä¸_,CN,,,,,1,0,0,0,2019/12/2
4,2019/12/2,ä¸_,CN,æ¹___,420000,,,1,0,0,0,2019/12/2
5,2019/12/2,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,1,0,0,0,2019/12/2
6,2019/12/3,ä¸_,CN,,,,,1,0,0,0,2019/12/3
7,2019/12/3,ä¸_,CN,æ¹___,420000,,,1,0,0,0,2019/12/3
8,2019/12/3,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,1,0,0,0,2019/12/3
9,2019/12/4,ä¸_,CN,,,,,1,0,0,0,2019/12/4
10,2019/12/4,ä¸_,CN,æ¹___,420000,,,1,0,0,0,2019/12/4
11,2019/12/4,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,1,0,0,0,2019/12/4
12,2019/12/5,ä¸_,CN,,,,,1,0,0,0,2019/12/5
13,2019/12/5,ä¸_,CN,æ¹___,420000,,,1,0,0,0,2019/12/5
14,2019/12/5,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,1,0,0,0,2019/12/5
15,2019/12/6,ä¸_,CN,,,,,1,0,0,0,2019/12/6
16,2019/12/6,ä¸_,CN,æ¹___,420000,,,1,0,0,0,2019/12/6
17,2019/12/6,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,1,0,0,0,2019/12/6
18,2019/12/7,ä¸_,CN,,,,,1,0,0,0,2019/12/7
19,2019/12/7,ä¸_,CN,æ¹___,420000,,,1,0,0,0,2019/12/7
20,2019/12/7,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,1,0,0,0,2019/12/7
21,2019/12/8,ä¸_,CN,,,,,1,0,0,0,2019/12/8
22,2019/12/8,ä¸_,CN,æ¹___,420000,,,1,0,0,0,2019/12/8
23,2019/12/8,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,1,0,0,0,2019/12/8
24,2019/12/9,ä¸_,CN,,,,,1,0,0,0,2019/12/9
25,2019/12/9,ä¸_,CN,æ¹___,420000,,,1,0,0,0,2019/12/9
26,2019/12/9,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,1,0,0,0,2019/12/9
27,2019/12/10,ä¸_,CN,,,,,1,0,0,0,2019/12/10
28,2019/12/10,ä¸_,CN,æ¹___,420000,,,1,0,0,0,2019/12/10
29,2019/12/10,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,1,0,0,0,2019/12/10
30,2019/12/11,ä¸_,CN,,,,,4,0,0,0,2019/12/11
31,2019/12/11,ä¸_,CN,æ¹___,420000,,,4,0,0,0,2019/12/11
32,2019/12/11,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,4,0,0,0,2019/12/11
33,2019/12/12,ä¸_,CN,,,,,4,0,0,0,2019/12/12
34,2019/12/12,ä¸_,CN,æ¹___,420000,,,4,0,0,0,2019/12/12
35,2019/12/12,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,4,0,0,0,2019/12/12
36,2019/12/13,ä¸_,CN,,,,,4,0,0,0,2019/12/13
37,2019/12/13,ä¸_,CN,æ¹___,420000,,,4,0,0,0,2019/12/13
38,2019/12/13,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,4,0,0,0,2019/12/13
39,2019/12/14,ä¸_,CN,,,,,4,0,0,0,2019/12/14
40,2019/12/14,ä¸_,CN,æ¹___,420000,,,4,0,0,0,2019/12/14
41,2019/12/14,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,4,0,0,0,2019/12/14
42,2019/12/15,ä¸_,CN,,,,,6,0,0,0,2019/12/15
43,2019/12/15,ä¸_,CN,æ¹___,420000,,,6,0,0,0,2019/12/15
